0.0 1.0 0.0 0.0 0.0 0.0 -0.0 1.0 0.0 0.0 0.0 0.0 -0.0 1.0 0.0 0.0 0.0 0.0 -0.0
1e-06 0.999996735341 1.95143207157e-08 2.39824010567e-08 2.48995134134e-08 3.40500000418e-08 3.38160000002e-08 0.999997461613 3.89632591577e-08 4.19728048068e-08 4.73651234566e-08 3.43690000904e-08 3.39260000093e-08 0.999999273726 4.83671130516e-08 3.94785572492e-08 2.74839099681e-08 1.09975584195e-10 3.18975956759e-10
4e-06 0.999986941497 7.80566232291e-08 9.59273682693e-08 9.95957396812e-08 1.36195000056e-07 1.35259e-07 0.999989846456 1.55851719573e-07 1.6788595413e-07 1.89453295184e-07 1.37472000006e-07 1.35698999926e-07 0.999997095012 1.93468452206e-07 1.57908301567e-07 1.09930542916e-07 4.39610237102e-10 1.27661337057e-09
9e-06 0.999970618865 1.7562492868e-07 2.15820152071e-07 2.24071999925e-07 3.06420999907e-07 3.04315000088e-07 0.999977154544 3.50661430157e-07 3.77724303885e-07 4.26246220621e-07 3.09298999968e-07 3.05310000059e-07 0.999993464172 4.35304017464e-07 3.55271655945e-07 2.47326918582e-07 9.93027549079e-10 2.87604329241e-09
1.6e-05 0.999947768107 3.12215939108e-07 3.8364421909e-07 3.98306587983e-07 5.44704999994e-07 5.40960000017e-07 0.999959385901 6.23385806036e-07 6.71462516112e-07 7.57711921914e-07 5.49832000041e-07 5.4274099992e-07 0.999988381734 7.73873808826e-07 6.31538879172e-07 4.39649762355e-07 1.77476722207e-09 5.12081710369e-09
2.5e-05 0.999918390152 4.87825037661e-07 5.9936604324e-07 6.22268381283e-07 8.51013999936e-07 8.45163000029e-07 0.99993654056 9.74015628977e-07 1.04906520584e-06 1.18380610693e-06 8.59045000023e-07 8.47967000062e-07 0.99998184844 1.20917782629e-06 9.86666569148e-07 6.86872916729e-07 2.78878742321e-09 8.01590893662e-09
3.6e-05 0.999882486191 7.02446288889e-07 8.62952106059e-07 8.95914369024e-07 1.22530400004e-06 1.21687999999e-06 0.999908618564 1.40253904796e-06 1.51048778123e-06 1.70447080089e-06 1.23690799991e-06 1.22095600008e-06 0.999973865239 1.74121606986e-06 1.42060108414e-06 9.88954380317e-07 4.04446531821e-09 1.15727167849e-08
4.9e-05 0.999840057681 9.56072439117e-07 1.17435726521e-06 1.21919491756e-06 1.66752599995e-06 1.656061e-06 0.999875619966 1.90894157996e-06 2.05567380065e-06 2.31963693575e-06 1.68337999995e-06 1.66167000004e-06 0.999964433291 2.36998853953e-06 1.93327647813e-06 1.34584765548e-06 5.55059953555e-09 1.57960657887e-08
6.4e-05 0.999791106343 1.2486949169e-06 1.53352789443e-06 1.59204946308e-06 2.17761800003e-06 2.16264499997e-06 0.999837544829 2.49320611079e-06 2.6845579313e-06 3.02922292214e-06 2.19841500004e-06 2.17006299996e-06 0.999953553969 3.0954952353e-06 2.52461520751e-06 1.75749481647e-06 7.31841398594e-09 2.06982093687e-08
8.1e-05 0.999735634165 1.5803038336e-06 1.94040097231e-06 2.01441209866e-06 2.75550700002e-06 2.73656299998e-06 0.999794393226 3.15531289629e-06 3.39706448116e-06 3.8331328373e-06 2.78195999992e-06 2.7460830001e-06 0.999941228855 3.91773615718e-06 3.19452549733e-06 2.2238348285e-06 9.36055999379e-09 2.62948341989e-08
0.0001 0.999673643394 1.95088798396e-06 2.39490991078e-06 2.48620056356e-06 3.40111700003e-06 3.37773500003e-06 0.999746165239 3.89523956349e-06 4.19310954012e-06 4.73125794278e-06 3.43395400004e-06 3.38966999991e-06 0.999927459742 4.83671130516e-06 3.94290598609e-06 2.74479233974e-06 1.16921198279e-08 3.25960621828e-08
0.000121 0.999605136545 2.36043484683e-06 2.89697605537e-06 3.00732949037e-06 4.11435799996e-06 4.08607200009e-06 0.999692860962 4.71296111208e-06 5.07259470893e-06 5.72348007645e-06 4.15432999989e-06 4.10075700008e-06 0.999912248631 5.85242067924e-06 4.76964410487e-06 3.32028330918e-06 1.43296129407e-08 3.96194558272e-08
0.000144 0.999530116396 2.808930586e-06 3.44651136567e-06 3.57770450078e-06 4.89512900004e-06 4.86147799994e-06 0.999634480498 5.60844991596e-06 6.03541683303e-06 6.80966537822e-06 4.943014e-06 4.87927100001e-06 0.999895597737 6.96486427943e-06 5.67461090398e-06 3.95022349591e-06 1.72899973228e-08 4.73860244377e-08
0.000169 0.999448585986 3.29636005102e-06 4.04342601997e-06 4.19721718225e-06 5.74332500003e-06 5.70384499998e-06 0.999571023961 6.58167572502e-06 7.08145959255e-06 7.98966696858e-06 5.79992300009e-06 5.72513099995e-06 0.99987750948 8.17404210572e-06 6.65767078301e-06 4.63450866593e-06 2.05936777631e-08 5.59112247611e-08
0.000196 0.99936054862 3.82270677821e-06 4.68761545232e-06 4.86575514044e-06 6.65882700002e-06 6.61305600003e-06 0.999502491477 7.63260566703e-06 8.21059532896e-06 9.26332947322e-06 6.72496800003e-06 6.63824899994e-06 0.99985798649 9.47995415811e-06 7.71867320478e-06 5.37303363605e-06 2.42625107783e-08 6.52179715788e-08
0.000225 0.999266007863 4.38795299165e-06 5.37897196911e-06 5.58319410729e-06 7.64150999999e-06 7.58898700004e-06 0.999428883182 8.76120424972e-06 9.42269045882e-06 1.06304809015e-05 7.71805300004e-06 7.61853199993e-06 0.999837031607 1.08826004366e-05 8.85745720864e-06 6.16568045606e-06 2.83198097195e-08 7.53276407917e-08
