36
0.3903648046 0.9433  0.0071
0.4160466996 0.9430  0.0042
0.4417285947 0.9346  0.0045
0.4674104897 0.9434  0.0037
0.5187742798 0.9354  0.0041
0.5470243644 0.9375  0.0046
0.6060927229 0.9349  0.0039
0.6548883235 0.9250  0.0029
0.6985475451 0.9170  0.0027
0.7807296092 0.9119  0.0030
0.8269570203 0.9053  0.0026
0.8731844314 0.9021  0.0017
0.9168436529 0.8921  0.0021
0.9656392535 0.8921  0.0024
1.011866665  0.8888  0.0016
1.060662265  0.8800  0.0014
1.112026055  0.8767  0.0010
1.214753635  0.8657  0.0010
1.268685615  0.8622  0.0012
1.322617595  0.8579  0.0013
1.379117764  0.8534  0.0009
1.430481554  0.8474  0.0013
1.489549912  0.8419  0.0009
1.546050081  0.8364  0.0012
1.60511844   0.8326  0.0008
1.664186799  0.8274  0.0007
1.725823347  0.8213  0.0010
1.784891705  0.8162  0.0008
1.825982737  0.8115  0.0007
1.905596612  0.8033  0.0007
1.985210487  0.7968  0.0007
2.067392551  0.7909  0.0005
2.149574615  0.7858  0.0005
2.2266203    0.7794  0.0038
2.33191607   0.7707  0.0024
2.437211839  0.7625  0.0031
