9
0.3903648046 0.9433  0.0071
0.4160466996 0.9430  0.0042
0.4417285947 0.9346  0.0045
0.4674104897 0.9434  0.0037
0.5187742798 0.9354  0.0041
0.5470243644 0.9375  0.0046
0.6060927229 0.9349  0.0039
0.6548883235 0.9250  0.0029
0.6985475451 0.9170  0.0027
