13
0.01 0.841 0.162 0.697
0.02 0.848 0.023 1.003
0.03 0.849 0.011 1.089
0.035 0.867 0.008 1.058
0.038 0.877 0.007 1.084
0.04 0.881 0.007 1.063
0.06 0.883 0.004 1.030
0.07 0.877 0.003 1.080
0.075 0.869 0.003 1.170
0.08 0.867 0.002 1.269
0.1 0.859 0.002 1.332
0.2 0.846 0.001 1.420
0.3 0.852 0.001 1.612
