19
0.01 0.852249 0.102003 0.7245666667
0.02 0.848616 0.0267373 0.8376060606
0.03 0.87776 0.0179006 0.9445127389
0.04 0.890789 0.0108608 1.029352632
0.05 0.888353 0.00748732 1.035143777
0.06 0.885688 0.00773017 1.016410019
0.07 0.883586 0.00495037 1.019729549
0.08 0.87712 0.00603749 1.037471669
0.09 0.876069 0.00516711 1.024920635
0.1 0.873534 0.00499402 1.013221323
0.2 0.857947 0.00185935 1.077892604
0.3 0.848378 0.00168843 1.226759176
0.4 0.837754 0.00130783 1.377733664
0.5 0.836517 0.00124595 1.414544728
0.6 0.835859 0.00111965 1.426953125
0.7 0.835892 0.00102812 1.416651584
0.8 0.834662 0.00102251 1.43901543
0.9 0.83375 0.000998751 1.479197666
1 0.831447 0.000986278 1.557945205
